Year,Gender,Series,mean,ci_lower,ci_upper
2007,Unknown,Mean repeat co-authors,0.12,0.04,0.23
2008,Any,Authors (000s),4.76,4.76,4.76
2008,Any,Mean co-authors (degree),3.41,3.32,3.53
2008,Any,Mean co-authored papers,3.1,2.98,3.23
2008,Any,Mean repeat co-authors,0.84,0.8,0.88
2008,Female,Authors (000s),1.04,1.04,1.04
2008,Female,Mean co-authors (degree),2.99,2.82,3.17
2008,Female,Mean co-authored papers,2.4,2.22,2.56
2008,Female,Mean repeat co-authors,0.62,0.55,0.7
2008,Male,Authors (000s),3.66,3.66,3.66
2008,Male,Mean co-authors (degree),3.56,3.44,3.69
2008,Male,Mean co-authored papers,3.33,3.19,3.48
2008,Male,Mean repeat co-authors,0.91,0.86,0.97
2008,Unknown,Authors (000s),0.06,0.06,0.06
2008,Unknown,Mean co-authors (degree),1.87,1.65,2.12
2008,Unknown,Mean co-authored papers,1.15,1.05,1.28
2008,Unknown,Mean repeat co-authors,0.12,0.03,0.23
2009,Any,Authors (000s),5.15,5.15,5.15
2009,Any,Mean co-authors (degree),3.48,3.37,3.59
2009,Any,Mean co-authored papers,3.09,2.96,3.22
2009,Any,Mean repeat co-authors,0.85,0.81,0.9
2009,Female,Authors (000s),1.14,1.14,1.14
2009,Female,Mean co-authors (degree),3.05,2.88,3.24
2009,Female,Mean co-authored papers,2.43,2.25,2.63
2009,Female,Mean repeat co-authors,0.63,0.56,0.7
2009,Male,Authors (000s),3.96,3.96,3.96
2009,Male,Mean co-authors (degree),3.63,3.49,3.77
2009,Male,Mean co-authored papers,3.31,3.14,3.47
2009,Male,Mean repeat co-authors,0.93,0.87,0.99
2009,Unknown,Authors (000s),0.06,0.06,0.06
2009,Unknown,Mean co-authors (degree),1.86,1.61,2.11
2009,Unknown,Mean co-authored papers,1.16,1.05,1.3
2009,Unknown,Mean repeat co-authors,0.12,0.04,0.21
2010,Any,Authors (000s),5.57,5.57,5.57
2010,Any,Mean co-authors (degree),3.56,3.46,3.65
2010,Any,Mean co-authored papers,3.06,2.91,3.16
2010,Any,Mean repeat co-authors,0.85,0.81,0.9
2010,Female,Authors (000s),1.26,1.26,1.26
2010,Female,Mean co-authors (degree),3.12,2.95,3.31
2010,Female,Mean co-authored papers,2.4,2.22,2.58
2010,Female,Mean repeat co-authors,0.61,0.54,0.68
2010,Male,Authors (000s),4.25,4.25,4.25
2010,Male,Mean co-authors (degree),3.72,3.6,3.87
2010,Male,Mean co-authored papers,3.28,3.16,3.46
2010,Male,Mean repeat co-authors,0.94,0.89,0.99
2010,Unknown,Authors (000s),0.06,0.06,0.06
2010,Unknown,Mean co-authors (degree),1.88,1.63,2.12
2010,Unknown,Mean co-authored papers,1.15,1.05,1.29
2010,Unknown,Mean repeat co-authors,0.12,0.03,0.22
2011,Any,Authors (000s),6.01,6.01,6.01
2011,Any,Mean co-authors (degree),3.68,3.57,3.79
2011,Any,Mean co-authored papers,3.05,2.93,3.19
2011,Any,Mean repeat co-authors,0.86,0.83,0.9
2011,Female,Authors (000s),1.41,1.41,1.41
2011,Female,Mean co-authors (degree),3.26,3.07,3.43
2011,Female,Mean co-authored papers,2.43,2.24,2.58
2011,Female,Mean repeat co-authors,0.63,0.57,0.7
2011,Male,Authors (000s),4.54,4.54,4.54
2011,Male,Mean co-authors (degree),3.83,3.7,3.95
2011,Male,Mean co-authored papers,3.27,3.12,3.42
2011,Male,Mean repeat co-authors,0.94,0.89,1
2011,Unknown,Authors (000s),0.07,0.07,0.07
2011,Unknown,Mean co-authors (degree),1.94,1.75,2.13
2011,Unknown,Mean co-authored papers,1.1,1.03,1.19
2011,Unknown,Mean repeat co-authors,0.1,0.04,0.19
2012,Any,Authors (000s),6.36,6.36,6.36
2012,Any,Mean co-authors (degree),3.75,3.66,3.84
2012,Any,Mean co-authored papers,3.03,2.92,3.13
2012,Any,Mean repeat co-authors,0.87,0.84,0.91
2012,Female,Authors (000s),1.51,1.51,1.51
2012,Female,Mean co-authors (degree),3.32,3.17,3.51
2012,Female,Mean co-authored papers,2.43,2.3,2.59
2012,Female,Mean repeat co-authors,0.65,0.59,0.72
2012,Male,Authors (000s),4.8,4.8,4.8
2012,Male,Mean co-authors (degree),3.91,3.79,4.04
2012,Male,Mean co-authored papers,3.24,3.11,3.38
2012,Male,Mean repeat co-authors,0.95,0.91,1
2012,Unknown,Authors (000s),0.06,0.06,0.06
2012,Unknown,Mean co-authors (degree),2,1.72,2.25
2012,Unknown,Mean co-authored papers,1.13,1.05,1.25
2012,Unknown,Mean repeat co-authors,0.13,0.05,0.25
